"name","toc_percent","tn_percent","date_run"
"1",4.77,0.12,2022-10-10
"2",1.69,0.16,2022-10-10
"3",2.8,0.25,2022-10-10
"4",0.3,0.08,2022-10-10
"5",5.23,0.17,2022-10-10
"6",0.31,0.07,2022-10-10
"7",2.86,0.22,2022-10-10
"8",0.49,0.09,2022-10-10
"9",5.95,0.23,2022-10-10
"10",2.23,0.13,2022-10-10
"11",0.18,0.06,2022-10-10
"12",0.55,0.08,2022-10-10
"13",0.19,0.08,2022-10-10
"14",0.47,0.08,2022-10-10
"15",0.35,0.07,2022-10-10
"16",0.28,0.09,2022-10-10
"17",0.69,0.1,2022-10-10
"18",6.75,0.1,2022-11-10
"19",1.7,0.16,2022-10-10
"20",0.63,0.1,2022-10-10
"21",0.59,0.11,2022-10-10
"22",0.44,0.1,2022-10-10
"23",0.31,0.1,2022-10-10
"24",0.23,0.07,2022-10-10
"25",0.48,0.11,2022-10-10
"26",0.17,0.08,2022-10-10
"27",2.58,0.18,2022-10-10
"28",0.16,0.08,2022-10-10
"29",0.41,0.09,2022-10-10
"30",0.3,0.09,2022-10-10
"31",0.91,0.13,2022-10-11
"32",0.42,0.11,2022-10-11
"33",3.11,0.18,2022-10-11
"34",0.47,0.09,2022-10-11
"35",0.36,0.08,2022-10-11
"36",4.33,0.36,2022-10-11
"37",0.21,0.07,2022-10-11
"38",0.13,0.06,2022-10-21
"39",2.79,0.18,2022-10-11
"40",0.14,0.09,2022-10-11
"41",5.97,0.46,2022-10-11
"42",0.5,0.1,2022-10-11
"43",6.04,0.1,2022-10-11
"44",0.8,0.1,2022-10-11
"45",0.22,0.08,2022-10-11
"46",5.01,0.15,2022-10-11
"47",2.37,0.23,2022-10-11
"48",0.21,0.09,2022-10-11
"49",5.12,0.5,2022-10-11
"50",0.25,0.1,2022-10-11
"51",0.27,0.09,2022-10-11
"52",2.2,0.21,2022-10-11
"53",0.18,0.1,2022-10-11
"54",18.38,0.68,2022-11-10
"55",0.22,0.09,2022-10-11
"56",0.36,0.08,2022-10-11
"57",0.29,0.1,2022-10-11
"58",0.22,0.09,2022-10-11
"59",38.42,2.24,2022-11-10
"60",10.48,0.39,2022-11-10
"61",3.18,0.21,2022-11-10
"62",1.14,0.08,2022-11-10
"63",0.58,0.06,2022-11-10
"64",4.55,0.16,2022-11-10
"65",38.95,2.3,2022-11-10
"66",1.98,0.09,2022-11-10
"67",6.89,0.41,2022-11-10
"68",37.72,2.24,2022-11-10
"69",1.88,0.11,2022-11-10
"70",5.86,0.09,2022-11-10
"71",5.17,0.11,2022-11-10
"72",0.78,0.06,2022-11-10
"73",4.7,0.13,2022-11-10
"74",0.38,0.12,2022-10-13
"75",1.69,0.19,2022-10-13
"76",0.78,0.1,2022-10-13
"77",4.26,0.23,2022-11-10
"78",0.21,0.05,2022-10-21
"79",0.23,0.09,2022-10-13
"80",0.24,0.07,2022-10-13
"81",1.86,0.16,2022-10-13
"82",0.29,0.09,2022-10-13
"83",1.28,0.13,2022-10-13
"84",0.41,0.09,2022-10-13
"85",1.21,0.07,2022-10-13
"86",0.32,0.08,2022-10-13
"87",8.57,0.48,2022-11-10
"88",0.45,0.07,2022-10-13
"89",1.95,0.04,2022-11-10
"90",0.67,0.09,2022-10-13
"91",0.45,0.14,2022-10-14
"92",0.51,0.05,2022-12-19
"93",1.22,0.14,2022-10-14
"94",10.21,0.53,2022-11-10
"95",0.48,0.08,2022-10-14
"96",5.91,0.2,2022-11-10
"97",0.24,0.04,2022-12-19
"99",1.48,0.18,2022-10-14
"100",0.41,0.09,2022-10-14
"101",1.08,0.16,2022-10-14
"102",0.53,0.05,2022-12-19
"103",0.34,0.11,2022-10-14
"104",1.2,0.12,2022-10-14
"105",0.19,0.05,2022-12-19
"106",0.63,0.12,2022-10-14
"107",0.65,0.16,2022-10-14
"108",1.7,0.09,2022-11-10
"109",1.27,0.14,2022-10-14
"110",1.26,0.17,2022-10-14
"111",0.51,0.11,2022-10-14
"112",0.6,0.12,2022-10-14
"113",0.8,0.17,2022-10-14
"114",0.64,0.12,2022-10-14
"115",2.84,0.1,2022-10-14
"116",2.52,0.1,2022-10-14
"117",1.45,0.16,2022-10-14
"118",0.85,0.13,2022-10-14
"119",0.61,0.15,2022-10-14
"120",1.19,0.12,2022-10-14
"121",22.63,1.65,2022-11-10
"122",0.82,0.15,2022-10-17
"123",0.43,0.08,2022-10-17
"124",0.33,0.07,2022-12-19
"125",3.95,0.33,2022-11-10
"126",13.66,1.02,2022-11-10
"127",7.25,0.41,2022-11-10
"128",5.14,0.34,2022-11-10
"129",4.7,0.26,2022-12-19
"130",0.56,0.12,2022-10-17
"131",0.51,0.12,2022-10-17
"132",0.19,0.05,2022-12-19
"133",0.17,0.14,2022-10-17
"134",0.6,0.1,2022-10-17
"135",0.37,0.05,2022-12-19
"136",11.7,0.75,2022-11-10
"137",0.27,0.1,2022-10-17
"138",1.04,0.11,2022-10-17
"139",0.29,0.09,2022-10-17
"140",0.38,0.07,2022-10-17
"141",1.98,0.13,2022-10-17
"142",9.62,0.56,2022-11-10
"143",0.22,0.08,2022-10-17
"144",0.34,0.08,2022-10-17
"145",8.52,0.42,2022-11-10
"146",2.17,0.19,2022-10-17
"147",0.31,0.1,2022-10-17
"148",0.31,0.09,2022-10-17
"149",1.58,0.17,2022-10-17
"150",0.19,0.09,2022-10-17
"151",0.17,0.07,2022-10-18
"152",0.66,0.11,2022-10-18
"153",0.19,0.08,2022-10-18
"154",0.2,0.08,2022-10-18
"155",3.86,0.2,2022-11-10
"156",0.25,0.1,2022-10-18
"157",0.25,0.08,2022-10-18
"158",0.34,0.1,2022-10-18
"159",5.08,0.2,2022-11-10
"160",6.78,0.37,2022-11-10
"162",0.09,0.06,2022-10-18
"163",0.67,0.13,2022-10-18
"164",0.76,0.13,2022-10-18
"165",0.36,0.09,2022-10-18
"166",0.38,0.09,2022-10-18
"167",2.19,0.15,2022-10-18
"168",0.12,0.08,2022-10-18
"169",0.59,0.11,2022-10-18
"170",0.21,0.09,2022-10-18
"171",0.64,0.07,2022-10-18
"172",3.01,0.28,2022-11-10
"173",5.18,0.39,2022-11-10
"174",0.16,0.08,2022-10-18
"175",0.88,0.12,2022-10-18
"176",0.7,0.14,2022-10-18
"177",0.64,0.07,2022-10-21
"178",5.84,0.22,2022-11-10
"179",1.87,0.16,2022-10-18
"180",0.23,0.08,2022-10-18
"181",3.95,0.1,2022-11-10
"182",0.31,0.11,2022-10-19
"183",7.47,0.43,2022-11-10
"184",0.32,0.08,2022-10-19
"185",0.12,0.08,2022-10-19
"186",4.23,0.19,2022-11-10
"187",0.98,0.12,2022-10-19
"188",0.66,0.07,2022-10-19
"189",0.33,0.08,2022-10-19
"190",6.9,0.5,2022-11-10
"191",0.73,0.09,2022-10-19
"192",1,0.09,2022-10-19
"193",0.71,0.12,2022-10-19
"194",1.09,0.1,2022-10-19
"195",2.48,0.12,2022-10-19
"196",2.94,0.12,2022-10-19
"197",0.25,0.07,2022-10-19
"198",0.14,0.08,2022-10-19
"199",2.47,0.16,2022-10-21
"200",4.07,0.17,2022-11-10
"201",0.57,0.09,2022-10-19
"202",11.14,0.87,2022-11-10
"203",11.4,0.82,2022-11-10
"204",0.24,0.08,2022-10-19
"205",0.28,0.1,2022-10-19
"206",2.42,0.2,2022-10-19
"207",0.6,0.15,2022-10-19
"208",0.85,0.11,2022-10-19
"209",9.75,0.71,2022-11-10
"210",0.53,0.1,2022-10-19
"211",0.96,0.14,2022-10-19
"212",0.48,0.13,2022-10-19
"213",0.5,0.07,2022-10-19
"214",3.52,0.28,2022-10-19
"215",3.35,0.11,2022-11-10
"216",0.21,0.09,2022-10-19
"217",5.63,0.21,2022-11-10
"218",7.12,0.12,2022-11-10
"219",0.34,0.1,2022-10-19
"220",0.67,0.11,2022-10-19
"221",0.18,0.08,2022-10-19
"222",2.69,0.24,2022-10-19
"223",6.12,0.3,2022-11-10
"224",0.71,0.08,2022-10-19
"225",7.97,0.38,2022-11-10
"226",3.63,0.08,2022-11-10
"227",6.46,0.29,2022-11-10
"228",0.27,0.07,2022-10-20
"229",0.52,0.08,2022-10-20
"230",0.52,0.08,2022-10-20
"231",5.8,0.21,2022-11-10
"232",0.49,0.09,2022-10-20
"233",2.26,0.13,2022-10-20
"234",5.55,0.24,2022-11-10
"235",1.56,0.14,2022-10-20
"236",0.89,0.12,2022-10-20
"237",0.44,0.07,2022-10-20
"238",3.03,0.08,2022-11-10
"239",6.66,0.43,2022-11-10
"240",0.56,0.07,2022-10-20
"241",0.45,0.09,2022-10-20
"242",2.02,0.16,2022-10-20
"243",0.63,0.11,2022-10-20
"244",1.95,0.17,2022-10-20
"245",2.54,0.23,2022-10-20
"246",4.03,0.09,2022-10-20
"247",2.68,0.19,2022-10-20
"248",0.61,0.1,2022-10-20
"249",0.37,0.11,2022-10-20
"250",3.91,0.16,2022-11-10
"251",0.24,0.11,2022-10-20
"252",0.49,0.11,2022-11-10
"253",0.24,0.14,2022-10-20
"254",0.59,0.1,2022-10-20
"255",1.35,0.15,2022-10-20
"256",3.83,0.35,2022-10-20
"257",0.49,0.09,2022-10-20
"258",0.24,0.1,2022-10-20
"259",0.24,0.08,2022-10-20
"260",1.23,0.17,2022-10-20
"261",0.24,0.09,2022-10-20
"262",0.54,0.11,2022-10-20
"263",0.36,0.1,2022-10-20
"264",0.96,0.1,2022-10-20
"265",0.51,0.11,2022-10-20
"266",0.27,0.11,2022-10-20
"267",0.24,0.08,2022-10-20
"268",0.35,0.08,2022-10-20
"269",0.46,0.09,2022-10-20
"270",0.21,0.08,2022-10-20
"271",0.73,0.11,2022-10-21
"272",1.32,0.12,2022-10-21
"273",0.28,0.07,2022-10-21
"274",1.17,0.1,2022-10-21
"275",0.6,0.08,2022-10-21
"276",0.86,0.14,2022-10-21
