Sample_Name,Original Date Received,Status,Date_Analyzed,Storage Location,Notes,ECA Protocol (from Kit_ID)
EC_016_SCN-D1,7/20/2022,Not Analyzed,,,,Not used for ECA
EC_016_SCN-D2,7/20/2022,Not Analyzed,,,,Not used for ECA
EC_016_SCN-D3,7/20/2022,Not Analyzed,,,,Not used for ECA
EC_016_SCN-D4,7/20/2022,Not Analyzed,,,,Not used for ECA
EC_016_SCN-D5,7/20/2022,Not Analyzed,,,,Not used for ECA
EC_016_SCN-W1,7/20/2022,Not Analyzed,,,,Not used for ECA
EC_016_SCN-W2,7/20/2022,Not Analyzed,,,,Not used for ECA
EC_016_SCN-W3,7/20/2022,Not Analyzed,,,,Not used for ECA
EC_016_SCN-W4,7/20/2022,Not Analyzed,,,,Not used for ECA
EC_016_SCN-W5,7/20/2022,Not Analyzed,,,,Not used for ECA
EC_019_SCN-D1,,,,,,Not used for ECA
EC_019_SCN-D2,,,,,,Not used for ECA
EC_019_SCN-D3,,,,,,Not used for ECA
EC_019_SCN-D4,,,,,,Not used for ECA
EC_019_SCN-D5,,,,,,Not used for ECA
EC_019_SCN-W1,,,,,,Not used for ECA
EC_019_SCN-W2,,,,,,Not used for ECA
EC_019_SCN-W3,,,,,,Not used for ECA
EC_019_SCN-W4,,,,,,Not used for ECA
EC_019_SCN-W5,,,,,,Not used for ECA
EC_020_SCN-D1,7/20/2022,Not Analyzed,,,,Not used for ECA
EC_020_SCN-D2,7/20/2022,Not Analyzed,,,,Not used for ECA
EC_020_SCN-D3,7/20/2022,Not Analyzed,,,,Not used for ECA
EC_020_SCN-D4,7/20/2022,Not Analyzed,,,,Not used for ECA
EC_020_SCN-D5,7/20/2022,Not Analyzed,,,,Not used for ECA
EC_020_SCN-W1,7/20/2022,Not Analyzed,,,,Not used for ECA
EC_020_SCN-W2,7/20/2022,Not Analyzed,,,,Not used for ECA
EC_020_SCN-W3,7/20/2022,Not Analyzed,,,,Not used for ECA
EC_020_SCN-W4,7/20/2022,Not Analyzed,,,,Not used for ECA
EC_020_SCN-W5,7/20/2022,Not Analyzed,,,,Not used for ECA
EC_025_SCN-D1,8/17/2022,Not Analyzed,,,,Not used for ECA
EC_025_SCN-D2,8/17/2022,Not Analyzed,,,,Not used for ECA
EC_025_SCN-D3,8/17/2022,Not Analyzed,,,,Not used for ECA
EC_025_SCN-D4,8/17/2022,Not Analyzed,,,,Not used for ECA
EC_025_SCN-D5,8/17/2022,Not Analyzed,,,,Not used for ECA
EC_025_SCN-W1,8/17/2022,Not Analyzed,,,,Not used for ECA
EC_025_SCN-W2,8/17/2022,Not Analyzed,,,,Not used for ECA
EC_025_SCN-W3,8/17/2022,Not Analyzed,,,,Not used for ECA
EC_025_SCN-W4,8/17/2022,Not Analyzed,,,,Not used for ECA
EC_025_SCN-W5,8/17/2022,Not Analyzed,,,,Not used for ECA
EC_026_SCN-D1,8/17/2022,Not Analyzed,,,,Not used for ECA
EC_026_SCN-D2,8/17/2022,Not Analyzed,,,,Not used for ECA
EC_026_SCN-D3,8/17/2022,Not Analyzed,,,,Not used for ECA
EC_026_SCN-D4,8/17/2022,Not Analyzed,,,,Not used for ECA
EC_026_SCN-D5,8/17/2022,Not Analyzed,,,,Not used for ECA
EC_026_SCN-W1,8/17/2022,Not Analyzed,,,,Not used for ECA
EC_026_SCN-W2,8/17/2022,Not Analyzed,,,,Not used for ECA
EC_026_SCN-W3,8/17/2022,Not Analyzed,,,,Not used for ECA
EC_026_SCN-W4,8/17/2022,Not Analyzed,,,,Not used for ECA
EC_026_SCN-W5,8/17/2022,Not Analyzed,,,,Not used for ECA
EC_028_SCN-D1,7/13/2022,Not Analyzed,,,,Not used for ECA
EC_028_SCN-D2,7/13/2022,Not Analyzed,,,,Not used for ECA
EC_028_SCN-D3,7/13/2022,Not Analyzed,,,,Not used for ECA
EC_028_SCN-D4,7/13/2022,Not Analyzed,,,,Not used for ECA
EC_028_SCN-D5,7/13/2022,Not Analyzed,,,,Not used for ECA
EC_028_SCN-W1,7/13/2022,Not Analyzed,,,,Not used for ECA
EC_028_SCN-W2,7/13/2022,Not Analyzed,,,,Not used for ECA
EC_028_SCN-W3,7/13/2022,Not Analyzed,,,,Not used for ECA
EC_028_SCN-W4,7/13/2022,Not Analyzed,,,,Not used for ECA
EC_028_SCN-W5,7/13/2022,Not Analyzed,,,,Not used for ECA
EC_029_SCN-D1,9/22/2022,Not Analyzed,,,,Not used for ECA
EC_029_SCN-D2,9/22/2022,Not Analyzed,,,,Not used for ECA
EC_029_SCN-D3,9/22/2022,Not Analyzed,,,,Not used for ECA
EC_029_SCN-D4,9/22/2022,Not Analyzed,,,,Not used for ECA
EC_029_SCN-D5,9/22/2022,Not Analyzed,,,,Not used for ECA
EC_029_SCN-W1,9/22/2022,Not Analyzed,,,,Not used for ECA
EC_029_SCN-W2,9/22/2022,Not Analyzed,,,,Not used for ECA
EC_029_SCN-W3,9/22/2022,Not Analyzed,,,,Not used for ECA
EC_029_SCN-W4,9/22/2022,Not Analyzed,,,,Not used for ECA
EC_029_SCN-W5,9/22/2022,Not Analyzed,,,,Not used for ECA
EC_030_SCN-D1,9/22/2022,Not Analyzed,,,,Not used for ECA
EC_030_SCN-D2,9/22/2022,Not Analyzed,,,,Not used for ECA
EC_030_SCN-D3,9/22/2022,Not Analyzed,,,,Not used for ECA
EC_030_SCN-D4,9/22/2022,Not Analyzed,,,,Not used for ECA
EC_030_SCN-D5,9/22/2022,Not Analyzed,,,,Not used for ECA
EC_030_SCN-W1,9/22/2022,Not Analyzed,,,,Not used for ECA
EC_030_SCN-W2,9/22/2022,Not Analyzed,,,,Not used for ECA
EC_030_SCN-W3,9/22/2022,Not Analyzed,,,,Not used for ECA
EC_030_SCN-W4,9/22/2022,Not Analyzed,,,,Not used for ECA
EC_030_SCN-W5,9/22/2022,Not Analyzed,,,,Not used for ECA
EC_031_SCN-D1,,,,,,Not used for ECA
EC_031_SCN-D2,,,,,,Not used for ECA
EC_031_SCN-D3,,,,,,Not used for ECA
EC_031_SCN-D4,,,,,,Not used for ECA
EC_031_SCN-D5,,,,,,Not used for ECA
EC_031_SCN-W1,,,,,,Not used for ECA
EC_031_SCN-W2,,,,,,Not used for ECA
EC_031_SCN-W3,,,,,,Not used for ECA
EC_031_SCN-W4,,,,,,Not used for ECA
EC_031_SCN-W5,,,,,,Not used for ECA
EC_036_SCN-D1,,,,,,Not used for ECA
EC_036_SCN-D2,,,,,,Not used for ECA
EC_036_SCN-D3,,,,,,Not used for ECA
EC_036_SCN-D4,,,,,,Not used for ECA
EC_036_SCN-D5,,,,,,Not used for ECA
EC_036_SCN-W1,,,,,,Not used for ECA
EC_036_SCN-W2,,,,,,Not used for ECA
EC_036_SCN-W3,,,,,,Not used for ECA
EC_036_SCN-W4,,,,,,Not used for ECA
EC_036_SCN-W5,,,,,,Not used for ECA
EC_043_SCN-D1,12/22/2022,Not Analyzed,,,,Not used for ECA
EC_043_SCN-D2,12/22/2022,Not Analyzed,,,,Not used for ECA
EC_043_SCN-D3,12/22/2022,Not Analyzed,,,,Not used for ECA
EC_043_SCN-D4,12/22/2022,Not Analyzed,,,,Not used for ECA
EC_043_SCN-D5,12/22/2022,Not Analyzed,,,,Not used for ECA
EC_043_SCN-W1,12/22/2022,Not Analyzed,,,,Not used for ECA
EC_043_SCN-W2,12/22/2022,Not Analyzed,,,,Not used for ECA
EC_043_SCN-W3,12/22/2022,Not Analyzed,,,,Not used for ECA
EC_043_SCN-W4,12/22/2022,Not Analyzed,,,,Not used for ECA
EC_043_SCN-W5,12/22/2022,Not Analyzed,,,,Not used for ECA
EC_045_SCN-D1,2/9/2023,Not Analyzed,,,,Not used for ECA
EC_045_SCN-D2,2/9/2023,Not Analyzed,,,,Not used for ECA
EC_045_SCN-D3,2/9/2023,Not Analyzed,,,,Not used for ECA
EC_045_SCN-D4,2/9/2023,Not Analyzed,,,,Not used for ECA
EC_045_SCN-D5,2/9/2023,Not Analyzed,,,,Not used for ECA
EC_045_SCN-W1,2/9/2023,Not Analyzed,,,,Not used for ECA
EC_045_SCN-W2,2/9/2023,Not Analyzed,,,,Not used for ECA
EC_045_SCN-W3,2/9/2023,Not Analyzed,,,,Not used for ECA
EC_045_SCN-W4,2/9/2023,Not Analyzed,,,,Not used for ECA
EC_045_SCN-W5,2/9/2023,Not Analyzed,,,,Not used for ECA
EC_046_SCN-D1,4/5/2023,Not Analyzed,,,,Not used for ECA
EC_046_SCN-D2,4/5/2023,Not Analyzed,,,,Not used for ECA
EC_046_SCN-D3,4/5/2023,Not Analyzed,,,,Not used for ECA
EC_046_SCN-D4,4/5/2023,Not Analyzed,,,,Not used for ECA
EC_046_SCN-D5,4/5/2023,Not Analyzed,,,,Not used for ECA
EC_046_SCN-W1,4/5/2023,Not Analyzed,,,,Not used for ECA
EC_046_SCN-W2,4/5/2023,Not Analyzed,,,,Not used for ECA
EC_046_SCN-W3,4/5/2023,Not Analyzed,,,,Not used for ECA
EC_046_SCN-W4,4/5/2023,Not Analyzed,,,,Not used for ECA
EC_046_SCN-W5,4/5/2023,Not Analyzed,,,,Not used for ECA
EC_047_SCN-D1,6/7/2023,,,,,Not used for ECA
EC_047_SCN-D2,6/7/2023,,,,,Not used for ECA
EC_047_SCN-D3,6/7/2023,,,,,Not used for ECA
EC_047_SCN-D4,6/7/2023,,,,,Not used for ECA
EC_047_SCN-D5,6/7/2023,,,,,Not used for ECA
EC_047_SCN-W1,6/7/2023,,,,,Not used for ECA
EC_047_SCN-W2,6/7/2023,,,,,Not used for ECA
EC_047_SCN-W3,6/7/2023,,,,,Not used for ECA
EC_047_SCN-W4,6/7/2023,,,,,Not used for ECA
EC_047_SCN-W5,6/7/2023,,,,,Not used for ECA
EC_048_SCN-D1,8/2/2023,,,,,Not used for ECA
EC_048_SCN-D2,8/2/2023,,,,,Not used for ECA
EC_048_SCN-D3,8/2/2023,,,,,Not used for ECA
EC_048_SCN-D4,8/2/2023,,,,,Not used for ECA
EC_048_SCN-D5,8/2/2023,,,,,Not used for ECA
EC_048_SCN-W1,8/2/2023,,,,,Not used for ECA
EC_048_SCN-W2,8/2/2023,,,,,Not used for ECA
EC_048_SCN-W3,8/2/2023,,,,,Not used for ECA
EC_048_SCN-W4,8/2/2023,,,,,Not used for ECA
EC_048_SCN-W5,8/2/2023,,,,,Not used for ECA
EC_049_SCN-D1,10/4/2023,,,,,Not used for ECA
EC_049_SCN-D2,10/4/2023,,,,,Not used for ECA
EC_049_SCN-D3,10/4/2023,,,,,Not used for ECA
EC_049_SCN-D4,10/4/2023,,,,,Not used for ECA
EC_049_SCN-D5,10/4/2023,,,,,Not used for ECA
EC_049_SCN-W1,10/4/2023,,,,,Not used for ECA
EC_049_SCN-W2,10/4/2023,,,,,Not used for ECA
EC_049_SCN-W3,10/4/2023,,,,,Not used for ECA
EC_049_SCN-W4,10/4/2023,,,,,Not used for ECA
EC_049_SCN-W5,10/4/2023,,,,,Not used for ECA
EC_050_SCN-D1,12/1/2022,Not Analyzed,,,,Not used for ECA
EC_050_SCN-D2,12/1/2022,Not Analyzed,,,,Not used for ECA
EC_050_SCN-D3,12/1/2022,Not Analyzed,,,,Not used for ECA
EC_050_SCN-D4,12/1/2022,Not Analyzed,,,,Not used for ECA
EC_050_SCN-D5,12/1/2022,Not Analyzed,,,,Not used for ECA
EC_050_SCN-W1,12/1/2022,Not Analyzed,,,,Not used for ECA
EC_050_SCN-W2,12/1/2022,Not Analyzed,,,,Not used for ECA
EC_050_SCN-W3,12/1/2022,Not Analyzed,,,,Not used for ECA
EC_050_SCN-W4,12/1/2022,Not Analyzed,,,,Not used for ECA
EC_050_SCN-W5,12/1/2022,Not Analyzed,,,,Not used for ECA
EC_054_SCN-D1,7/6/2023,,,,,Not used for ECA
EC_054_SCN-D2,7/6/2023,,,,,Not used for ECA
EC_054_SCN-D3,7/6/2023,,,,,Not used for ECA
EC_054_SCN-D4,7/6/2023,,,,,Not used for ECA
EC_054_SCN-D5,7/6/2023,,,,,Not used for ECA
EC_054_SCN-W1,7/6/2023,,,,,Not used for ECA
EC_054_SCN-W2,7/6/2023,,,,,Not used for ECA
EC_054_SCN-W3,7/6/2023,,,,,Not used for ECA
EC_054_SCN-W4,7/6/2023,,,,,Not used for ECA
EC_054_SCN-W5,7/6/2023,,,,,Not used for ECA
EC_055_SCN-D1,8/30/2023,,,,,Not used for ECA
EC_055_SCN-D2,8/30/2023,,,,,Not used for ECA
EC_055_SCN-D3,8/30/2023,,,,,Not used for ECA
EC_055_SCN-D4,8/30/2023,,,,,Not used for ECA
EC_055_SCN-D5,8/30/2023,,,,,Not used for ECA
EC_055_SCN-W1,8/30/2023,,,,,Not used for ECA
EC_055_SCN-W2,8/30/2023,,,,,Not used for ECA
EC_055_SCN-W3,8/30/2023,,,,,Not used for ECA
EC_055_SCN-W4,8/30/2023,,,,,Not used for ECA
EC_055_SCN-W5,8/30/2023,,,,,Not used for ECA
EC_058_SCN-D1,4/5/2023,Not Analyzed,,,,Not used for ECA
EC_058_SCN-D2,4/5/2023,Not Analyzed,,,,Not used for ECA
EC_058_SCN-D3,4/5/2023,Not Analyzed,,,,Not used for ECA
EC_058_SCN-D4,4/5/2023,Not Analyzed,,,,Not used for ECA
EC_058_SCN-D5,4/5/2023,Not Analyzed,,,,Not used for ECA
EC_058_SCN-W1,4/5/2023,Not Analyzed,,,,Not used for ECA
EC_058_SCN-W2,4/5/2023,Not Analyzed,,,,Not used for ECA
EC_058_SCN-W3,4/5/2023,Not Analyzed,,,,Not used for ECA
EC_058_SCN-W4,4/5/2023,Not Analyzed,,,,Not used for ECA
EC_058_SCN-W5,4/5/2023,Not Analyzed,,,,Not used for ECA
EC_059_SCN-D1,6/7/2023,,,,,Not used for ECA
EC_059_SCN-D2,6/7/2023,,,,,Not used for ECA
EC_059_SCN-D3,6/7/2023,,,,,Not used for ECA
EC_059_SCN-D4,6/7/2023,,,,,Not used for ECA
EC_059_SCN-D5,6/7/2023,,,,,Not used for ECA
EC_059_SCN-W1,6/7/2023,,,,,Not used for ECA
EC_059_SCN-W2,6/7/2023,,,,,Not used for ECA
EC_059_SCN-W3,6/7/2023,,,,,Not used for ECA
EC_059_SCN-W4,6/7/2023,,,,,Not used for ECA
EC_059_SCN-W5,6/7/2023,,,,,Not used for ECA
EC_060_SCN-D1,8/2/2023,,,,,Not used for ECA
EC_060_SCN-D2,8/2/2023,,,,,Not used for ECA
EC_060_SCN-D3,8/2/2023,,,,,Not used for ECA
EC_060_SCN-D4,8/2/2023,,,,,Not used for ECA
EC_060_SCN-D5,8/2/2023,,,,,Not used for ECA
EC_060_SCN-W1,8/2/2023,,,,,Not used for ECA
EC_060_SCN-W2,8/2/2023,,,,,Not used for ECA
EC_060_SCN-W3,8/2/2023,,,,,Not used for ECA
EC_060_SCN-W4,8/2/2023,,,,,Not used for ECA
EC_060_SCN-W5,8/2/2023,,,,,Not used for ECA
EC_061_SCN-D1,10/11/2023,,,,,Not used for ECA
EC_061_SCN-D2,10/11/2023,,,,,Not used for ECA
EC_061_SCN-D3,10/11/2023,,,,,Not used for ECA
EC_061_SCN-D4,10/11/2023,,,,,Not used for ECA
EC_061_SCN-D5,10/11/2023,,,,,Not used for ECA
EC_061_SCN-W1,10/11/2023,,,,,Not used for ECA
EC_061_SCN-W2,10/11/2023,,,,,Not used for ECA
EC_061_SCN-W3,10/11/2023,,,,,Not used for ECA
EC_061_SCN-W4,10/11/2023,,,,,Not used for ECA
EC_061_SCN-W5,10/11/2023,,,,,Not used for ECA
EC_062_SCN-D1,11/16/2022,Not Analyzed,,,,Not used for ECA
EC_062_SCN-D2,11/16/2022,Not Analyzed,,,,Not used for ECA
EC_062_SCN-D3,11/16/2022,Not Analyzed,,,,Not used for ECA
EC_062_SCN-D4,11/16/2022,Not Analyzed,,,,Not used for ECA
EC_062_SCN-D5,11/16/2022,Not Analyzed,,,,Not used for ECA
EC_062_SCN-W1,11/16/2022,Not Analyzed,,,,Not used for ECA
EC_062_SCN-W2,11/16/2022,Not Analyzed,,,,Not used for ECA
EC_062_SCN-W3,11/16/2022,Not Analyzed,,,,Not used for ECA
EC_062_SCN-W4,11/16/2022,Not Analyzed,,,,Not used for ECA
EC_062_SCN-W5,11/16/2022,Not Analyzed,,,,Not used for ECA
EC_067_SCN-D1,,,,,,Not used for ECA
EC_067_SCN-D2,,,,,,Not used for ECA
EC_067_SCN-D3,,,,,,Not used for ECA
EC_067_SCN-D4,,,,,,Not used for ECA
EC_067_SCN-D5,,,,,,Not used for ECA
EC_067_SCN-W1,,,,,,Not used for ECA
EC_067_SCN-W2,,,,,,Not used for ECA
EC_067_SCN-W3,,,,,,Not used for ECA
EC_067_SCN-W4,,,,,,Not used for ECA
EC_067_SCN-W5,,,,,,Not used for ECA
EC_077_SCN-D1,2/22/2023,Not Analyzed,,,,Not used for ECA
EC_077_SCN-D2,2/22/2023,Not Analyzed,,,,Not used for ECA
EC_077_SCN-D3,2/22/2023,Not Analyzed,,,,Not used for ECA
EC_077_SCN-D4,2/22/2023,Not Analyzed,,,,Not used for ECA
EC_077_SCN-D5,2/22/2023,Not Analyzed,,,,Not used for ECA
EC_077_SCN-W1,2/22/2023,Not Analyzed,,,,Not used for ECA
EC_077_SCN-W2,2/22/2023,Not Analyzed,,,,Not used for ECA
EC_077_SCN-W3,2/22/2023,Not Analyzed,,,,Not used for ECA
EC_077_SCN-W4,2/22/2023,Not Analyzed,,,,Not used for ECA
EC_077_SCN-W5,2/22/2023,Not Analyzed,,,,Not used for ECA
EC_079_SCN-D1,2/15/2023,Not Analyzed,,,,Not used for ECA
EC_079_SCN-D2,2/15/2023,Not Analyzed,,,,Not used for ECA
EC_079_SCN-D3,2/15/2023,Not Analyzed,,,,Not used for ECA
EC_079_SCN-D4,2/15/2023,Not Analyzed,,,,Not used for ECA
EC_079_SCN-D5,2/15/2023,Not Analyzed,,,,Not used for ECA
EC_079_SCN-W1,2/15/2023,Not Analyzed,,,,Not used for ECA
EC_079_SCN-W2,2/15/2023,Not Analyzed,,,,Not used for ECA
EC_079_SCN-W3,2/15/2023,Not Analyzed,,,,Not used for ECA
EC_079_SCN-W4,2/15/2023,Not Analyzed,,,,Not used for ECA
EC_079_SCN-W5,2/15/2023,Not Analyzed,,,,Not used for ECA
EC_083_SCN-D1,8/17/2023,,,,,Not used for ECA
EC_083_SCN-D2,8/17/2023,,,,,Not used for ECA
EC_083_SCN-D3,8/17/2023,,,,,Not used for ECA
EC_083_SCN-D4,8/17/2023,,,,,Not used for ECA
EC_083_SCN-D5,8/17/2023,,,,,Not used for ECA
EC_083_SCN-W1,8/17/2023,,,,,Not used for ECA
EC_083_SCN-W2,8/17/2023,,,,,Not used for ECA
EC_083_SCN-W3,8/17/2023,,,,,Not used for ECA
EC_083_SCN-W4,8/17/2023,,,,,Not used for ECA
EC_083_SCN-W5,8/17/2023,,,,,Not used for ECA
EC_086_SCN-D1,8/30/2023,,,,,Not used for ECA
EC_086_SCN-D2,8/30/2023,,,,,Not used for ECA
EC_086_SCN-D3,8/30/2023,,,,,Not used for ECA
EC_086_SCN-D4,8/30/2023,,,,,Not used for ECA
EC_086_SCN-D5,8/30/2023,,,,,Not used for ECA
EC_086_SCN-W1,8/30/2023,,,,,Not used for ECA
EC_086_SCN-W2,8/30/2023,,,,,Not used for ECA
EC_086_SCN-W3,8/30/2023,,,,,Not used for ECA
EC_086_SCN-W4,8/30/2023,,,,,Not used for ECA
EC_086_SCN-W5,8/30/2023,,,,,Not used for ECA
EC_087_SCN-D1,8/16/2023,,,,,Not used for ECA
EC_087_SCN-D2,8/16/2023,,,,,Not used for ECA
EC_087_SCN-D3,8/16/2023,,,,,Not used for ECA
EC_087_SCN-D4,8/16/2023,,,,,Not used for ECA
EC_087_SCN-D5,8/16/2023,,,,,Not used for ECA
EC_087_SCN-W1,8/16/2023,,,,,Not used for ECA
EC_087_SCN-W2,8/16/2023,,,,,Not used for ECA
EC_087_SCN-W3,8/16/2023,,,,,Not used for ECA
EC_087_SCN-W4,8/16/2023,,,,,Not used for ECA
EC_087_SCN-W5,8/16/2023,,,,,Not used for ECA
EC_096_SCN-D1,6/21/2023,,,,,Not used for ECA
EC_096_SCN-D2,6/21/2023,,,,,Not used for ECA
EC_096_SCN-D3,6/21/2023,,,,,Not used for ECA
EC_096_SCN-D4,6/21/2023,,,,,Not used for ECA
EC_096_SCN-D5,6/21/2023,,,,,Not used for ECA
EC_096_SCN-W1,6/21/2023,,,,,Not used for ECA
EC_096_SCN-W2,6/21/2023,,,,,Not used for ECA
EC_096_SCN-W3,6/21/2023,,,,,Not used for ECA
EC_096_SCN-W4,6/21/2023,,,,,Not used for ECA
EC_096_SCN-W5,6/21/2023,,,,,Not used for ECA
EC_097_SCN-D1,9/27/2023,,,,,Not used for ECA
EC_097_SCN-D2,9/27/2023,,,,,Not used for ECA
EC_097_SCN-D3,9/27/2023,,,,,Not used for ECA
EC_097_SCN-D4,9/27/2023,,,,,Not used for ECA
EC_097_SCN-D5,9/27/2023,,,,,Not used for ECA
EC_097_SCN-W1,9/27/2023,,,,,Not used for ECA
EC_097_SCN-W2,9/27/2023,,,,,Not used for ECA
EC_097_SCN-W3,9/27/2023,,,,,Not used for ECA
EC_097_SCN-W4,9/27/2023,,,,,Not used for ECA
EC_097_SCN-W5,9/27/2023,,,,,Not used for ECA
EC_098_SCN-D1,10/4/2023,,,,,Not used for ECA
EC_098_SCN-D2,10/4/2023,,,,,Not used for ECA
EC_098_SCN-D3,10/4/2023,,,,,Not used for ECA
EC_098_SCN-D4,10/4/2023,,,,,Not used for ECA
EC_098_SCN-D5,10/4/2023,,,,,Not used for ECA
EC_098_SCN-W1,10/4/2023,,,,,Not used for ECA
EC_098_SCN-W2,10/4/2023,,,,,Not used for ECA
EC_098_SCN-W3,10/4/2023,,,,,Not used for ECA
EC_098_SCN-W4,10/4/2023,,,,,Not used for ECA
EC_098_SCN-W5,10/4/2023,,,,,Not used for ECA
EC_099_SCN-D1,6/21/2023,Not Analyzed,,,,Not used for ECA
EC_099_SCN-D2,6/21/2023,Not Analyzed,,,,Not used for ECA
EC_099_SCN-D3,6/21/2023,Not Analyzed,,,,Not used for ECA
EC_099_SCN-D4,6/21/2023,Not Analyzed,,,,Not used for ECA
EC_099_SCN-D5,6/21/2023,Not Analyzed,,,,Not used for ECA
EC_099_SCN-W1,6/21/2023,Not Analyzed,,,,Not used for ECA
EC_099_SCN-W2,6/21/2023,Not Analyzed,,,,Not used for ECA
EC_099_SCN-W3,6/21/2023,Not Analyzed,,,,Not used for ECA
EC_099_SCN-W4,6/21/2023,Not Analyzed,,,,Not used for ECA
EC_099_SCN-W5,6/21/2023,Not Analyzed,,,,Not used for ECA
EC_100_SCN-D1,5/31/2023,Not Analyzed,,,,Not used for ECA
EC_100_SCN-D2,5/31/2023,Not Analyzed,,,,Not used for ECA
EC_100_SCN-D3,5/31/2023,Not Analyzed,,,,Not used for ECA
EC_100_SCN-D4,5/31/2023,Not Analyzed,,,,Not used for ECA
EC_100_SCN-D5,5/31/2023,Not Analyzed,,,,Not used for ECA
EC_100_SCN-W1,5/31/2023,Not Analyzed,,,,Not used for ECA
EC_100_SCN-W2,5/31/2023,Not Analyzed,,,,Not used for ECA
EC_100_SCN-W3,5/31/2023,Not Analyzed,,,,Not used for ECA
EC_100_SCN-W4,5/31/2023,Not Analyzed,,,,Not used for ECA
EC_100_SCN-W5,5/31/2023,Not Analyzed,,,,Not used for ECA
EC_101_SCN-D1,5/31/2023,Not Analyzed,,,,Not used for ECA
EC_101_SCN-D2,5/31/2023,Not Analyzed,,,,Not used for ECA
EC_101_SCN-D3,5/31/2023,Not Analyzed,,,,Not used for ECA
EC_101_SCN-D4,5/31/2023,Not Analyzed,,,,Not used for ECA
EC_101_SCN-D5,5/31/2023,Not Analyzed,,,,Not used for ECA
EC_101_SCN-W1,5/31/2023,Not Analyzed,,,,Not used for ECA
EC_101_SCN-W2,5/31/2023,Not Analyzed,,,,Not used for ECA
EC_101_SCN-W3,5/31/2023,Not Analyzed,,,,Not used for ECA
EC_101_SCN-W4,5/31/2023,Not Analyzed,,,,Not used for ECA
EC_101_SCN-W5,5/31/2023,Not Analyzed,,,,Not used for ECA
EC_102_SCN-D1,6/28/2023,,,,,Not used for ECA
EC_102_SCN-D2,6/28/2023,,,,,Not used for ECA
EC_102_SCN-D3,6/28/2023,,,,,Not used for ECA
EC_102_SCN-D4,6/28/2023,,,,,Not used for ECA
EC_102_SCN-D5,6/28/2023,,,,,Not used for ECA
EC_102_SCN-W1,6/28/2023,,,,,Not used for ECA
EC_102_SCN-W2,6/28/2023,,,,,Not used for ECA
EC_102_SCN-W3,6/28/2023,,,,,Not used for ECA
EC_102_SCN-W4,6/28/2023,,,,,Not used for ECA
EC_102_SCN-W5,6/28/2023,,,,,Not used for ECA
EC_103_SCN-D1,7/12/2023,,,,,Not used for ECA
EC_103_SCN-D2,7/12/2023,,,,,Not used for ECA
EC_103_SCN-D3,7/12/2023,,,,,Not used for ECA
EC_103_SCN-D4,7/12/2023,,,,,Not used for ECA
EC_103_SCN-D5,7/12/2023,,,,,Not used for ECA
EC_103_SCN-W1,7/12/2023,,,,,Not used for ECA
EC_103_SCN-W2,7/12/2023,,,,,Not used for ECA
EC_103_SCN-W3,7/12/2023,,,,,Not used for ECA
EC_103_SCN-W4,7/12/2023,,,,,Not used for ECA
EC_103_SCN-W5,7/12/2023,,,,,Not used for ECA
EC_104_SCN-D1,7/25/2023,,,,,Not used for ECA
EC_104_SCN-D2,7/25/2023,,,,,Not used for ECA
EC_104_SCN-D3,7/25/2023,,,,,Not used for ECA
EC_104_SCN-D4,7/25/2023,,,,,Not used for ECA
EC_104_SCN-D5,7/25/2023,,,,,Not used for ECA
EC_104_SCN-W1,7/25/2023,,,,,Not used for ECA
EC_104_SCN-W2,7/25/2023,,,,,Not used for ECA
EC_104_SCN-W3,7/25/2023,,,,,Not used for ECA
EC_104_SCN-W4,7/25/2023,,,,,Not used for ECA
EC_104_SCN-W5,7/25/2023,,,,,Not used for ECA
EC_105_SCN-D1,6/28/2023,,,,,Not used for ECA
EC_105_SCN-D2,6/28/2023,,,,,Not used for ECA
EC_105_SCN-D3,6/28/2023,,,,,Not used for ECA
